"","prog","source","bre_code","country","yy","mm","dd","bre_site","cluster","notes","X1","Y1","dup","bio1_current","bio7_current","bio12_current","bio15_current","bio1_LIG","bio7_LIG","bio12_LIG","bio15_LIG","bio1_LGM","bio7_LGM","bio12_LGM","bio15_LGM","bio1_MH","bio7_MH","bio12_MH","bio15_MH","bio1_gfdlesm4_370","bio7_gfdlesm4_370","bio12_gfdlesm4_370","bio15_gfdlesm4_370","bio1_gfdlesm4_585","bio7_gfdlesm4_585","bio12_gfdlesm4_585","bio15_gfdlesm4_585","bio1_ukesm1_370","bio7_ukesm1_370","bio12_ukesm1_370","bio15_ukesm1_370","bio1_ukesm1_585","bio7_ukesm1_585","bio12_ukesm1_585","bio15_ukesm1_585"
"0",562,"eBird","C3","China",2018,5,5,1,"e",NA,90.52754,43.83801,5400828,51.801110903422,489.913323720296,111.666666666667,62.8801021575928,42.763671875,629.586588541667,96.3826497395833,63.6598307291667,-7.16666666666667,489.666666666667,80.1666666666667,56,42.8333333333333,547.166666666667,116.833333333333,59.1666666666667,78.5930776596069,401.965001424154,269.134841918945,58.5829823811849,83.0393242835999,398.635571797689,279.594879150391,60.7165921529134,99.2007287343343,399.031016031901,278.905685424805,63.7244084676107,105.974206924438,411.890786488851,276.803975423177,62.0713450113932
"1",563,"eBird","C3","China",2018,5,10,1,"e",NA,90.64566,44.0169,5380111,60.4758334159851,512.17999458313,92.5,63.2745780944824,53.16748046875,642.94287109375,82.0009765625,63.308837890625,3.25,499.75,71,53,53,557,100.25,54.5,90.2589464187622,442.170543670654,193.395156860352,48.3432598114014,99.7545909881592,440.513877868652,198.519561767578,49.6597089767456,111.038451194763,442.540979385376,201.43383026123,53.8465366363525,120,454.50496673584,197.96577835083,51.6415185928345
"2",564,"eBird","C4","China",2021,7,23,1,"e",NA,81.88759,42.99879,5509401,48.1458338101705,456.566664377848,252.833333333333,56.0377833048503,36.4713541666667,605.828450520833,264.47216796875,87.0970052083333,-1.5,448.333333333333,179.333333333333,62.1666666666667,39.6666666666667,484.833333333333,309.833333333333,73.5,54.362788995107,396.598409016927,588.698486328125,66.851998647054,57.9429817199707,389.466807047526,611.320343017578,69.715768178304,71.8631283442179,380.916964213053,620.261901855469,68.4435602823893,75.4830288887024,403.35610071818,635.080261230469,66.2172037760417
"3",745,"eBird","C3","Kazakhstan",2019,5,25,1,"e",NA,79.12685,43.22052,5478255,80.0012493133545,413.919992446899,466,39.7466793060303,47.3134765625,606.108642578125,381.668701171875,59.185546875,16.75,415,317,34,59.5,459,423.75,42.25,75.2734351158142,431.012802124023,410.970962524414,39.998254776001,78.4412145614624,420.036783218384,429.528244018555,44.1425256729126,93.6082053184509,410.294246673584,432.371421813965,37.0151453018188,98.7468862533569,426.204280853271,439.242088317871,37.78005027771
"4",750,"eBird","C4","Kazakhstan",2018,6,8,1,"e",NA,79.19814,43.14532,5488616,52.6893329620361,393.136001586914,583.4,41.1562873840332,24.6625,599.926953125,413.7794921875,62.151953125,-6.4,409,339.4,39.6,36,453.2,465,50.8,46.9368705749512,427.931381225586,500.359497070312,42.2923294067383,50.8291711807251,417.771629333496,522.962164306641,46.5989860534668,65.5234518051147,404.258018493652,525.822924804688,39.3698089599609,71.5329504013062,420,534.385522460938,39.8096603393555
"5",751,"eBird","C2","Kazakhstan",2019,5,20,1,"e",NA,79.11884,43.37207,5462714,100.894334793091,413.975997924805,376.8,37.6824897766113,62.398828125,613.7419921875,347.224609375,57.783203125,31.8,419.8,293,31,74.2,463.8,383.8,35.8,103.384380340576,439.265617370605,360.091094970703,37.8306312561035,106.443494796753,424.85432434082,376.933312988281,42.1491859436035,121.728916168213,419.265617370605,380.336560058594,34.8531433105469,126.835809707642,429.863021850586,386.186297607422,35.8737434387207
"6",775,"eBird","C3","Mongolia",2020,5,25,1,"e",NA,92.01202,47.85916,4903584,9.31500005722046,557.728004455566,105.6,92.2825286865234,4.3609375,755.20703125,84.194140625,120.4759765625,-44.2,567.6,72.6,109,3,612.6,91.2,94.2,66.1312780380249,449.910278320312,115.546194458008,101.337228393555,67.8023452758789,448.89527130127,115.90980682373,101.594218444824,77.0450754165649,461.078369140625,117.368510437012,100.927433776855,82.5435056686401,471.007385253906,116.993276977539,101.846492004395
"7",776,"eBird","C4","Mongolia",2020,6,11,1,"e",NA,92.03243,46.05731,5126324,17.6346664428711,509.07999420166,100,72.2698089599609,20.0078125,723.6435546875,71.122265625,78.0291015625,-30.6,545.4,73.8,76.4,21.4,594.6,82.8,69.2,57.3579368591309,473.398780822754,116.427377319336,60.5589645385742,60.080493927002,474.993301391602,116.571228027344,59.2576507568359,70.3626575469971,480,122.728468322754,62.5337394714355,76.4976625442505,490,120.427418518066,60.2904411315918
"8",777,"eBird","C4","Mongolia",2014,4,27,1,"e",NA,107.19935,43.19582,5484108,68.2510004043579,473.200012207031,101,111.544960021973,38.85703125,626.46796875,192.54921875,118.6267578125,-8.6,497.8,61.8,91.6,41.4,510.2,122.4,112.8,96.3167476654053,480.117088317871,115.857379150391,105.708729553223,96.5203876495361,490.117088317871,107.545915222168,100.867401123047,104.749578475952,500.80477142334,131.851245117187,111.510389709473,109.959638595581,505.644393920898,142.245889282227,117.872229003906
"9",778,"eBird","C4","Mongolia",2014,5,1,1,"e",NA,107.19946,43.04564,5499648,68.0666666030884,470.008010864258,96.6,117.784648132324,39.9326171875,623.7818359375,192.0873046875,118.955078125,-6.8,496,62.8,93.2,42.2,508.4,124.8,113.4,96.2109508514404,485.957450866699,119.657565307617,104.292144775391,97.7960662841797,494.979469299316,110.253964233398,99.0487350463867,103.929292678833,505.963577270508,135.309259033203,110,110,509.474655151367,145.512493896484,116.282409667969
