longitude,latitude,ESU,season
100.45,45.04,Eastern,breeding
99.56,49.56,Eastern,breeding
101.55,49.31,Eastern,breeding
101.57,48.55,Eastern,breeding
102.55,43.45,Eastern,breeding
105.3,42.2,Eastern,breeding
107.4,43.05,Eastern,breeding
107.15,45.45,Eastern,breeding
106.53,47.19,Eastern,breeding
105.52,47.42,Eastern,breeding
106.08,50.12,Eastern,breeding
108.1,48.48,Eastern,breeding
107.25,47.57,Eastern,breeding
109.55,46.4,Eastern,breeding
111.08,49.07,Eastern,breeding
112.07,47.38,Eastern,breeding
113.44,49.17,Eastern,breeding
91.576928,49.663873,Eastern,breeding
109.40752,46.627396,Eastern,breeding
92.059848,49.994353,Eastern,breeding
101.170133,47.711044,Eastern,breeding
113.25999,49.412445,Eastern,breeding
108.47637,47.69281,Eastern,breeding
109.256387,43.625614,Eastern,breeding
93.341657,46.180737,Eastern,breeding
111.378396,47.359404,Eastern,breeding
113.32,49.22,Eastern,breeding
112.23,47.46,Eastern,breeding
118.06,47.59,Eastern,breeding
106.03,47.25,Eastern,breeding
108.48,46.01,Eastern,breeding
105.21,44.24,Eastern,breeding
105.21,44.19,Eastern,breeding
107.43,43.54,Eastern,breeding
108.03,48.08,Eastern,breeding
108.1,43.39,Eastern,breeding
109.32,43.23,Eastern,breeding
105.44,42.34,Eastern,breeding
106.48,41.42,Eastern,breeding
120.16,44.32,Eastern,breeding
106.47022,50.3786,Eastern,breeding
120.41,49.22,Eastern,breeding
109.82,40.71,Eastern,breeding
105.68,38.79,Eastern,breeding
89.57,46.34,Eastern,breeding
85.05,46.28,Eastern,breeding
82.44,43.79,Eastern,breeding
94.96824,51.39305,Eastern,breeding
93.98193,51.54082,Eastern,breeding
94.460726,51.710583,Eastern,breeding
87.916664,50.184469,Eastern,breeding
105.1646,50.4974,Eastern,breeding
107.033382,51.54175,Eastern,breeding
107.537684,51.881015,Eastern,breeding
88.01192,47.47567,Eastern,breeding
81.293986,44.525849,Eastern,breeding
85.9514,44.4499,Eastern,breeding
94.99,50.25,Eastern,breeding
65.35383759,49.81955309,Eastern,breeding
65.0861669,49.45545501,Eastern,breeding
64.95553259,49.3978809,Eastern,breeding
64.81920932,49.39692431,Eastern,breeding
64.68647484,49.38371691,Eastern,breeding
64.66306363,49.40517063,Eastern,breeding
64.60212384,49.39583573,Eastern,breeding
64.47921792,49.36143031,Eastern,breeding
65.0733755,49.33695038,Eastern,breeding
65.10882358,49.33093775,Eastern,breeding
65.12522797,49.32637884,Eastern,breeding
65.17168627,49.31011571,Eastern,breeding
65.2217202,49.28995601,Eastern,breeding
65.27572647,49.27334071,Eastern,breeding
65.09886161,49.15761007,Eastern,breeding
65.17492637,49.09694118,Eastern,breeding
65.22833452,49.16235735,Eastern,breeding
64.88035008,49.18399628,Eastern,breeding
64.82080505,49.11900193,Eastern,breeding
65.05417868,49.22924788,Eastern,breeding
64.77164113,49.42639162,Eastern,breeding
64.9153385,49.72286883,Eastern,breeding
63.34347012,49.26127148,Eastern,breeding
63.75603129,49.27956504,Eastern,breeding
65.69125794,49.86083064,Eastern,breeding
65.93315247,49.63813761,Eastern,breeding
66.33260318,49.41509013,Eastern,breeding
66.16784309,49.27425541,Eastern,breeding
66.1054706,49.32614772,Eastern,breeding
65.42288832,49.23777159,Eastern,breeding
64.23417041,48.68918314,Eastern,breeding
63.74019498,48.66259185,Eastern,breeding
63.36123795,48.67280221,Eastern,breeding
63.00489332,50.03986905,Eastern,breeding
59.37349514,49.94391649,Eastern,breeding
62.7209669,51.59602523,Eastern,breeding
63.78048029,51.82942986,Eastern,breeding
64.33145758,51.71984747,Eastern,breeding
64.10422831,51.24134211,Eastern,breeding
64.43144397,51.16302276,Eastern,breeding
90.64566,44.0169,Eastern,breeding
81.88759,42.99879,Eastern,breeding
92.01202,47.85916,Eastern,breeding
