,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
1529,3645,Northern Cape,GBIF,e,14655880,23.505,-30.5892,168.9258385,327.1800137,269,65.05239296,159.1179199,311.0224609,142.6047363,104.3312988,125.5,310.25,301.5,63.75,159.5,323,252.75,57,202.372365,300,293.0093079,59.0172863,205.1411104,300,288.5568008,56,214.6175241,310,269.9792328,50.53905201,218.8735485,320,273.8988724,49
1530,3649,Mara,GBIF,e,11154471,34.8049,-2.4557,201.5958309,157.1200061,828,60.61028481,195.2585449,194.9033203,492.652832,72.59741211,172.25,155.75,611.5,54,194.25,141.5,801.25,49,239.5893669,140,704.3545074,69.00605392,239.7465897,140.0367808,716.1777802,69.97107887,243.499608,140,936.0971069,81.79958916,247.3276854,140,943.4902344,79.88155556
1531,3654,Manyara,GBIF,e,11340976,35.8691,-3.95134,218.3266687,153.1500006,645,89.85665512,209.5366211,197.6220703,456.9968262,121.8571777,185.25,173.75,564.75,95.75,206.25,158.5,708.5,89,246.768074,170,768.0766602,91.90300941,247.1927071,170,716.0955811,86.79098701,254.4129229,170,922.6927643,98.24052238,255.71486,170,942.6171722,97.95990181
1532,3663,Rift Valley,GBIF,e,11040524,35.3368,-1.52194,186.2077777,152.1466668,993.3333333,51.8980217,173.4147135,225.366862,572.1611328,89.23730469,150,172.6666667,690,61,171,155,950.6666667,46.66666667,211.3921611,146.9476891,1017.226522,54.12755076,211.881326,142.4619357,1006.602743,53.99232483,216.0776711,139.7283141,1324.375041,60.59601466,217.7128537,138.2174524,1382.979329,57.66304906
1533,3665,Oromia,GBIF,e,9968339,38.4825,7.09145,196.910553,207.4666723,964.6666667,49.75600306,168.328125,249.7226563,1057.964518,69.98632813,156.3333333,201.6666667,945.3333333,76,177,196.3333333,1102.333333,52.66666667,218.409729,120,1127.476644,48.49452591,219.5926666,130,1130.303548,48.53075155,228.4425036,135.8198166,1430.056152,40.24095027,229.9016889,130.2397982,1564.614136,40.45672735
1534,3670,North-West,GBIF,e,14029153,25.7101,-25.5606,181.1337519,277.2300053,535,80.49668312,171.3891602,290.0861816,402.4951172,104.3098145,141.75,270.75,579.75,70.5,167.25,292.5,529,69.5,209.8865414,247.6054049,486.2096634,84.02256584,209.9622345,251.9709063,489.0272064,86.97284508,218.984437,250,537.6626282,87.95993042,220.0209999,250,536.5144501,85.59597206
1535,3671,North-West,GBIF,e,14018795,25.8311,-25.4595,180.8862543,274.5599985,556,81.45287514,170.375,290.6362305,424.7011719,102.380127,140.75,271.75,602.25,70.25,166.5,292.25,550.5,69,207.1801043,240,526.0510712,85.01137352,207.6478767,250,529.338974,87.53930283,213.7095594,250,585.6048126,88.03944778,220.9881973,250,580.9224701,86
1536,3674,Sofala,GBIF,e,13205740,34.3745,-18.9459,251.0262537,203.8800001,1008.5,90.63546753,239.1164551,196.3754883,1138.872803,97.26245117,218.75,219.25,967.25,96.25,244,229.5,949,80,270,179.9121237,1022.151855,87.56450462,270,183.059063,1150.149597,90.88996506,280,190,1088.367615,88.99570465,280,190,1037.377014,87.54958344
1537,3675,Mpumalanga,GBIF,e,13930870,31.4288,-24.7874,214.8195839,233.9200068,664,76.85885048,209.0708008,218.5588379,512.3349609,78.70507813,182.75,221.75,682.5,68.5,206.75,237.75,613,66.25,240.488801,190,624.2200012,79.17130089,240.0515938,190.2568388,656.424408,82.01347923,249.1705847,210,731.4256897,89.3310051,257.8813791,200,675.2436829,86.24277115
1538,3681,Arusha,GBIF,e,11247729,35.5641,-3.17343,183.5455577,159.9466705,749.6666667,88.1692632,174.5813802,190.5794271,531.1865234,121.9391276,150.6666667,160.3333333,626.3333333,92,173,141,803.6666667,84.33333333,198.8187091,140.0381788,1740.654053,85.8457133,199.1249402,140,1741.332886,87.5566864,206.8188922,134.6076298,2247.686768,89.17781321,208.0760384,130.0095463,2268.210938,87.39719137
1539,3686,Mpumalanga,GBIF,e,13961940,31.0197,-25.0322,203.587079,213.9699984,815,74.67063904,194.4543457,204.2202148,761.5759277,70.3737793,169,202.75,951,67,192.75,217.25,859,66.5,219.0049601,190,1021.632751,77.02317619,217.2620153,190,1073.516602,80.5840683,223.725872,210,1170.228119,85.98803711,232.1690512,200,1094.205841,82.8408699
1540,3687,Central,GBIF,e,12589306,33.7885,-13.9762,204.1638883,202.6533445,870.3333333,118.1838913,191.4082031,180.860026,992.188151,118.4527995,162.6666667,218.3333333,875.6666667,112.3333333,196.6666667,231.3333333,747,109,230.0338682,170,774.0174154,117.49705,230,180,803.8787638,119.1734848,238.3452543,210,841.7939046,121.3991979,240.0338682,210,833.2984212,126.3647181
1541,3691,Eastern,GBIF,e,11030204,37.0085,-1.44023,199.8072243,167.7733358,582,84.32380931,186.1917318,204.6601563,401.1302083,126.4892578,162,180.3333333,499,95.66666667,182.6666667,167.3333333,612.3333333,80.33333333,210.9902382,140,747.27889,69.74405416,214.775149,149.2910004,684.0951335,66.72118886,220.288194,128.5865911,1007.887105,80.29405467,223.9086405,130,1072.804565,81.00250498
1542,3693,Northern,GBIF,e,10408534,34.1146,3.55068,211.9529152,159.4700003,769.25,65.98808861,202.2746582,201.2253418,835.0546875,103.2233887,179.75,148.75,625,83.75,193.25,157,710.75,70,229.4693947,138.5213804,1106.235901,58.15218163,229.927249,130,1061.279297,54.88405037,229.927249,120,1556.566101,66.8803997,231.4568472,113.1116009,1614.562439,64.54818535
1543,3694,Northern,GBIF,e,10392985,33.7404,3.66913,227.6187515,168.0500078,831.25,59.43657112,216.6628418,214.0627441,908.4084473,101.1638184,194,160,654.75,79,208.25,163.75,754,63,250.7134914,150,895.3852844,54.90792179,251.7017698,145.8302712,863.1841278,52.22170353,249.3337727,150.6769061,1287.309631,63.18474483,250.6378174,149.5780993,1326.22345,60.77545166
1544,3699,Mpumalanga,GBIF,e,13936052,31.5024,-24.7954,215.3008318,235.1000023,630.5,77.52887154,209.9562988,222.5695801,498.6550293,78.51928711,183.25,225.75,667,68.25,207.75,241.5,598.75,65.5,247.5970745,190,571.0005951,79.8156929,243.9518642,190.8832932,600.2659912,82.08519173,250,210,671.9167786,90.02116203,260,200,619.4278564,87.01676941
1545,3701,Eastern Cape,GBIF,e,14857946,25.4461,-32.2406,138.1686668,267.3280067,470,49.74474792,126.2328125,258.4142578,366.0765625,48.75722656,95.6,271.8,494.4,36.8,125.2,273.4,466.2,37.2,154.7438202,243.4245834,507.0384583,52.2143959,155.6949863,251.2731285,505.709552,50.1680954,163.9451275,260.3558884,477.7358948,49.46059723,169.0645332,247.5402641,503.2276489,51.82904816
1546,3704,Central,GBIF,e,10843615,32.478,0.061798,219.9153328,101.9439964,1538,43.44446945,205.1384766,201.8316406,1318.858594,89.82285156,186,130.4,1289,48.4,195.6,132.8,1643.8,35.8,247.7333679,49.9583292,1513.23042,36.46521912,248.864994,40.14633846,1448.357422,31.2864357,250,49.89296913,1873.938623,43.07318726,250.2739563,49.54896164,1911.053271,41.28530884
1547,3705,Shinyanga,GBIF,e,11170018,35.099,-2.54739,189.7833379,159.0399933,745,69.05700684,183.1158854,196.0019531,411.5498047,78.39941406,160.3333333,157.3333333,543.3333333,61.33333333,181.6666667,140,714.6666667,57.33333333,227.3335012,130,649.4725138,72,227.7256648,140,660.34375,73.75428263,230,134.1537666,871.1372681,83.12241618,230.9127363,138.395799,877.5027466,81.15132141
1548,3715,Gauteng,GBIF,e,14122448,28.015,-26.2939,155.1316667,258.2700014,700.5,77.20499802,152.6079102,257.8830566,619.7072754,77.71044922,126,242,776,65.25,151,261.25,735.25,68.25,181.9081116,231.6536427,674.4046631,82,181.8560219,241.5022755,685.4855347,84,192.9636097,252.8398609,711.4627228,83.5692749,195.6055832,250,728.1413574,85
1549,3716,Kenya,GBIF,e,11299610,38.957917,-3.624583,242.3624945,145.6400013,722,56.62661076,235.3962402,161.763916,516.0170898,86.11376953,215.5,174,509.25,74.75,231.5,136,703.75,54.5,267.6035452,140.2534127,594.5584717,70.22768593,270,150,527.765686,66.98178864,279.0498209,140,710.5767975,72.82620621,280,140,708.8027649,69.81101799
1550,3717,Kenya,GBIF,e,11019802,35.29125,-1.374583,190.5404234,158.1600046,946.5,47.81591797,178.0197754,231.3500977,602.1931152,85.70117188,154.5,176,715,56.5,175.25,158,999.5,41.75,218.9325619,149.6588755,884.4971466,49.47615242,219.4802618,143.4122062,876.7062073,49.27229214,222.0264721,140,1147.590515,56.55225468,223.0195808,137.660079,1203.591064,53.57185364
1551,3718,Kenya,GBIF,e,10978406,37.124583,-1.04125,200.2874994,158.7000036,869.5,86.58467102,190.7436523,229.1350098,602.310791,122.9785156,165.5,193,711.25,97.75,187.25,179,864.5,84.75,210,140,995.4386597,76.4910984,211.3325453,140,917.9499359,75.17671585,220,130,1314.427032,86.07771492,220.6517172,130,1398.521515,87.13442039
1552,3719,Kenya,GBIF,e,10823014,37.457917,0.20875,186.3395834,161.9399977,1201.75,95.0714798,173.1054688,241.1704102,1001.251465,119.6672363,148.5,190.5,1032,98.75,170.5,179.75,1291,91,206.6060019,130.7906818,1066.864182,66.09140015,208.7358713,132.8314209,1010.025192,69.14312935,217.8042364,111.0271716,1435.726227,75.12934685,219.9832773,110.3539872,1534.721497,77.3729229
