,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
67,68,NA,Tracking,w,8765762,4.42,16.77,293.0305545,280.2533277,180.6666667,151.427063,248.8632813,349.9586589,603.375,137.8880208,246.3333333,294.6666667,41,117.3333333,273,280.6666667,386.3333333,157.6666667,320,292.0251401,121.2239812,170.0168203,320,290,136.5557912,180.0575714,330,281.2555949,161.9091899,171.2185516,330,282.0251401,157.0442251,162.1032257
68,69,NA,Tracking,w,8900308,-1.14,15.7,296.7105548,267.4933306,249,142.9740855,255.7086589,319.3844401,712.0348307,125.6393229,254.3333333,267.6666667,112.6666667,134.6666667,274.6666667,258.6666667,530.3333333,145,320,270,287.0563965,161.7255249,320,260,309.8333028,169.7452291,331.2384033,266.6015244,325.3628133,150.9985046,340,260,311.0671387,149.0027822
69,70,NA,Tracking,w,8786242,-5.55,16.59,291.0037518,289.0600157,183.75,137.738018,247.8369141,339.8618164,376.3381348,137.6291504,236.5,275.75,85,135,265.5,269.25,319,147,310,290,194.0149612,156.8243561,310,280,211.0631676,158.6246147,320,280,165.9346733,145.3034592,330,280,155.0020142,139.4987373
70,71,NA,Tracking,w,8905435,-3.36,15.63,282.2325039,273.3600044,277.75,147.5041847,241.0517578,322.1582031,632.2441406,119.5432129,238,271,141.25,139.75,255.75,264,565,143.5,320,268.9612961,322.5437012,161.7883644,320,260,324.2804565,164.3867378,330,268.9612961,318.0456238,145.9183273,330,260,297.0585861,142.1357117
71,72,NA,Tracking,w,8832814,-7.56,16.25,298.4775066,284.9199915,239.5,135.5982323,266.1870117,332.9309082,328.1831055,128.652832,251.75,260.5,158.25,141.25,276.75,261.5,434,138.75,320.9101868,280,286.4529724,152,330,270,306.4720078,155.3170662,340,274.0414858,251.3027229,147,340,270,228.1683769,140
72,73,NA,Tracking,w,8708739,2.65,17.23,292.3886681,287.4400024,148.8,148.8026337,249.7017578,353.0306641,623.6466797,134.6019531,243.2,300.8,34.4,118.4,273.4,284.2,353,157,320,300,111.6662048,180.163562,320,299.3468857,123.1342072,185.384964,330,290,138.1486633,165.7160583,330.5038986,290,135.4384308,159.3025177
73,74,NA,Tracking,w,9055919,7.66,14.43,274.2041636,244.8299885,318,158.1062851,237.4665527,317.7346191,628.8955078,130.7341309,238.25,280,101.75,143,257,258,503,150,300,269.7817421,365.3450317,164.4656143,300,265.1472092,357.1741486,169.4706039,310,270,534.0764923,164.4289398,310,270.3457308,519.9974823,161.2467041
74,75,NA,Tracking,w,9180160,4.37,13.44,286.9088872,241.5333366,492.6666667,135.6762034,249.5065104,306.4039714,982.1435547,126.436849,250.6666667,255.6666667,311,133,266.6666667,245.6666667,828,136.3333333,310,240,601.9904785,145.995814,310,240,581.3802694,147.5643768,310.1610311,259.0698751,713.6200968,145.0062561,320,253.6448669,736.3910319,139.8376516
75,76,NA,Tracking,w,8817500,1.86,16.34,299.4670868,278.1900024,182.25,150.6472664,248.6352539,334.206543,698.4836426,132.5839844,248.25,280.25,63,119.5,271.5,265,426.5,152,328.549633,280,229.33535,174.4289055,329.9824238,275.8878231,293.7367401,198.2421265,340,270.0024366,275.9426117,160.3629112,340.0829792,273.6764097,267.9399719,156.025692
76,77,NA,Tracking,w,9226749,3.05,13.06,290.4816691,237.7466647,531.6666667,135.697052,251.6871745,308.9759115,1061.525391,124.4254557,252.3333333,257.3333333,364,132.6666667,269,245,883.3333333,138,310,232.2003047,597.4910889,142.6639099,310,233.7662633,587.8384196,142.8516591,319.9843725,250,753.5863241,143.8563944,320,250,752.9627075,138.4820251
77,78,NA,Tracking,w,9237110,3.11,12.97,290.8427811,239.3066533,552.3333333,134.1382548,252.5452474,306.398112,1073.425456,123.6230469,252.6666667,255.6666667,379.6666667,132.3333333,269.3333333,243.3333333,902.3333333,136.3333333,310,230,595.4944661,140.7788696,310,230,588.5807088,140.4934133,319.9707031,250,755.3624268,142.5305125,320,249.9414126,753.7678019,137.4799906
78,79,NA,Tracking,w,9035185,7.06,14.59,278.9661153,249.7866631,326.3333333,157.111496,240.1998698,319.6201172,684.7011719,131.1943359,241.6666667,279.6666667,117,145.3333333,259.6666667,259,565.6666667,150.3333333,300,270,354.9509481,166.0915324,300,270,353.3091431,174.7775981,310,273.2769712,514.2735596,169.5957642,313.9868228,275.0780169,499.0980225,164.8123016
79,80,NA,Tracking,w,9143903,4.46,13.71,286.5104151,243.8200092,443.5,139.8862076,250.4990234,306.949707,932.8364258,127.9150391,251.75,257.25,272,136.25,267.75,247.75,771.25,138,310,240.1562643,538.8654327,149.7014046,310,240.1189899,517.5087051,152.2374954,311.7334604,260,636.5023041,148.3366966,320,260,657.0524597,142.5672684
80,81,NA,Tracking,w,9320034,4.95,12.31,279.879996,233.7599945,764.3333333,117.8829447,243.344401,302.2382813,1243.317057,114.8727214,243,258.3333333,584.3333333,118.3333333,256.3333333,247.3333333,1219.666667,124.6666667,301.4699046,220,821.571696,134.1580149,302.3620478,220,824.7037964,130.4395854,309.9314181,231.070315,994.0859172,135,310.2304904,230,1028.990234,132.4395854
81,82,NA,Tracking,w,8817487,1.3,16.35,298.0166626,275.6666565,178,149.1459045,248.3121745,322.296875,696.2750651,131.8134766,247,268.3333333,60.66666667,118,271,252.3333333,416.6666667,154,330,280,241.7171885,170,330,270,308.2475484,192.1642253,340,270,281.0154826,155.9570669,349.422315,271.1286863,271.9832967,153.2315013
82,83,NA,Tracking,w,9008951,-6.87,14.8,282.9924965,285.2099943,378.5,145.7844467,241.3144531,342.8566895,577.8220215,116.3422852,231.25,281.5,322.25,148.75,248.25,277,702.25,138,320,260,445.7652283,150.5891953,320,256.8963623,442.5584946,148.0150604,330,260,438.8921814,143.452919,339.7407055,251.591773,399.2643204,139.8157272
83,84,NA,Tracking,w,8915721,-6.43,15.56,288.9145851,283.570013,285.25,141.9717827,244.2954102,337.340332,452.3925781,119.7885742,233.5,274.25,192,151.25,255.75,269,512.5,141.5,311.0683441,270.7513762,367.5226135,154.3946228,319.3016958,265.0570631,372.8775253,155.1974564,330,260,329.4847565,146.1157455,330,260,293.1284409,140.4857025
84,85,NA,Tracking,w,9257862,4.43,12.82,284.5105553,239.3600146,657,117.1901728,249.5963542,302.9716797,1139.642904,116.6380208,249.3333333,257,458,118.3333333,264.6666667,244.6666667,1038,124.3333333,310,228.6026764,662.2691243,137.6480204,310,226.0043081,656.190918,136.4304148,312.434082,240.0334167,825.0425008,140.1280416,320,240,855.5193888,136.0753123
85,86,NA,Tracking,w,9097335,6.63,14.1,279.4499969,241.5000105,353.5,152.4711838,239.2636719,317.472168,750.6821289,131.6403809,240.25,277.25,172,149.5,258,256.75,605.25,150.5,300,259.8795605,427.9098434,159.0247421,300.209322,260,419.8110504,162.8510742,310,261.4262533,586.979248,159.9737701,311.9576073,270,580.6834717,155.1125908
86,87,NA,Tracking,w,9351107,4.633235878,12.07165616,281.2025023,235.4100084,818,112.2798157,244.3364258,298.3308105,1276.358887,112.0358887,243.75,254.25,621.5,114,256,244.25,1248.5,120.75,302.0644903,220,869.8823853,129.5800705,302.6862478,219.9397802,883.6273804,126.7649708,307.2738218,238.6920977,1043.821869,132.2300873,310,231.388073,1076.754974,128.8569221
