"","X","Y","bio1","bio12","bio15","bio7"
"1",103.729166666666,10.6041666666667,273.296661376953,3220,84.8624420166016,114.600009918213
"2",51.7291666666665,52.4791666666667,48.3899974822998,483,23.6427192687988,463.880004882812
"3",76.3958333333331,14.7708333333334,253.290004730225,592,83.7199096679688,198.560009002686
"4",-12.0208333333334,17.6875,291.995010375977,143,133.379547119141,265.559997558594
"5",105.0625,49.7708333333334,-11.6816675662994,349,109.69490814209,539.84001159668
"6",124.354166666666,0.9791666666667,256.478328704834,2182,24.5963687896729,93.799991607666
"7",23.1458333333332,-8.2708333333333,228.691673278809,1508,74.2687835693359,169.799995422363
"8",86.6041666666665,33.1875,-69.4250011444092,146,106.616409301758,366.760025024414
"9",21.8958333333332,-3.85416666666663,246.606674194336,1732,45.8780212402344,116.919994354248
"10",43.8541666666665,56.0208333333334,36.1866664886475,568,31.0574626922607,369.720001220703
"11",60.8541666666665,41.1458333333334,138.296670913696,119,58.7790756225586,456.680030822754
"12",47.9374999999999,14.8125,241.243324279785,104,67.9549789428711,221.640014648438
"13",117.4375,25.7708333333334,175.176658630371,1569,57.796688079834,259.519996643066
"14",48.2708333333332,5.1041666666667,268.391666412354,226,102.089286804199,133.959999084473
"15",138.6875,-3.60416666666663,189.05834197998,2620,23.6957149505615,111.640005111694
"16",53.8124999999998,41.3125,139.438333511353,100,48.421272277832,339.640007019043
"17",143.0625,50.6458333333334,-26.2000012397766,765,41.6812896728516,458.239974975586
"18",39.1041666666665,-3.68749999999996,239.663333892822,717,50.6587829589844,138.280010223389
"19",12.5624999999999,50.3125,61.9516658782959,786,23.2740688323975,249.479999542236
"20",96.7708333333331,59.0625,-38.0100011825562,430,43.0489501953125,529.119987487793
"21",-3.2708333333334,8.2291666666667,261.21166229248,1072,64.5515823364258,140.559997558594
"22",81.2291666666665,36.4791666666667,109.548330307007,39,67.3966522216797,440.800018310547
"23",118.479166666666,-30.0208333333333,188.264999389648,231,56.1916465759277,299.040012359619
"24",69.3124999999998,51.4791666666667,25.4883337020874,282,36.4449501037598,487.039985656738
"25",24.6041666666666,-16.0625,214.74666595459,764,115.24195098877,261.879997253418
"26",10.4374999999999,16.3958333333334,269.163341522217,66,158.462219238281,291.279983520508
"27",97.5624999999998,70.1875,-137.784996032715,378,45.7605628967285,526.559982299805
"28",32.9374999999999,2.39583333333337,232.320003509521,1289,54.9499893188477,168.039989471436
"29",27.1041666666666,37.2708333333334,185,693,94.2133255004883,238.499984741211
"30",121.270833333333,53.4375,-44.379997253418,430,104.790328979492,610.15998840332
"31",115.6875,33.4375,150.713329315186,811,79.5020446777344,357.399978637695
"32",23.6874999999999,25.1041666666667,225.443325042725,3,36.1813621520996,320.040016174316
"33",17.6458333333332,-23.1041666666666,193.934993743896,280,108.889419555664,286.759986877441
"34",21.6458333333332,30.3958333333334,204.139995574951,47,101.679504394531,271.879978179932
"35",103.8125,52.6041666666667,1.60833314061165,429,87.7227401733398,501.20002746582
"36",55.3124999999998,18.7708333333334,273.951663970947,95,71.0034408569336,288.280010223389
