Time	UpperNe	LowerNe	Ne
2037.907306	333345.244	86148.207	162049.521
2053.345997	333942.273	86320.903	162276.358
2068.784689	334286.629	86393.871	162402.654
2084.223381	334640.738	86421.322	162515.480
2099.662073	335030.802	86798.100	162743.265
2115.100764	335461.014	87138.876	162869.783
2130.539456	335832.136	87502.407	163074.800
2145.978148	336138.883	87697.545	163189.778
2161.416839	336431.264	87863.766	163325.979
2176.855531	337551.071	88084.017	163494.897
2192.294223	337570.464	88262.218	163660.045
2207.732915	338602.287	88308.708	163831.101
2223.171606	339425.327	88460.771	163992.129
2238.610298	339977.501	88552.692	164140.261
2254.04899	340340.803	88886.695	164434.543
2269.487681	340651.604	89034.666	164546.417
2284.926373	341306.915	89360.648	164721.624
2300.365065	342033.383	89570.733	164924.932
2315.803756	342041.063	89594.047	165084.143
2331.242448	342383.208	89682.555	165248.689
2346.68114	342528.347	89779.771	165383.869
2362.119832	343201.294	89943.440	165525.346
2377.558523	343796.661	89993.195	165744.121
2392.997215	344344.495	90282.315	165892.525
2408.435907	344745.002	90608.475	165977.892
2423.874598	344869.641	90708.475	166054.740
2439.31329	345180.585	90969.958	166243.984
2454.751982	345610.323	91077.108	166341.257
2470.190674	345945.728	91194.483	166547.861
2485.629365	346202.484	91402.065	166678.095
2501.068057	346611.647	91505.808	166862.975
2516.506749	346611.647	91602.109	166953.685
2531.94544	347028.855	91762.650	167089.476
2547.384132	347478.518	91857.381	167212.126
2562.822824	348402.554	92072.724	167334.033
2578.261516	348861.292	92152.799	167484.987
2593.700207	349549.749	92331.100	167573.314
2609.138899	350305.912	92378.736	167698.634
2624.577591	350395.592	92640.790	167881.513
2640.016282	350553.320	92786.383	167958.600
2655.454974	350836.627	92836.453	168066.547
2670.893666	351446.027	93053.717	168208.555
2686.332358	351446.027	93156.041	168329.310
2701.771049	352682.127	93221.317	168482.183
2717.209741	353349.371	93363.921	168672.814
2732.648433	353754.131	93496.565	168864.811
2748.087124	353939.319	93585.783	168933.095
2763.525816	354725.299	93605.267	169171.097
2778.964508	356249.798	93817.115	169255.155
2794.4032	356975.292	93945.105	169390.258
2809.841891	357743.904	94146.321	169563.534
2825.280583	357989.754	94252.332	169693.770
2840.719275	358500.809	94266.960	169834.053
2856.157966	358758.639	94266.960	169960.749
2871.596658	359064.403	94434.716	170096.992
2887.03535	359889.264	94666.797	170216.982
2902.474041	360663.313	94681.960	170297.171
2917.912733	360796.577	94777.075	170449.978
2933.351425	361043.493	94914.574	170548.296
2948.790117	362467.567	95049.213	170640.673
2964.228808	362907.341	95215.652	170740.122
2979.6675	363066.639	95251.156	170826.063
2995.106192	364323.448	95411.815	170885.336
3010.544883	365266.629	95446.189	170992.787
3025.983575	366814.472	95525.681	171085.262
3041.422267	366928.794	95611.371	171168.784
3056.860959	367370.673	95695.016	171252.042
3072.29965	367892.418	95782.521	171345.945
3087.738342	367982.841	95921.308	171425.048
3103.177034	368004.252	96045.703	171485.123
3118.615725	368157.542	96074.036	171592.377
3134.054417	368157.542	96135.788	171700.611
3149.493109	368297.344	96223.468	171832.851
3164.931801	369137.400	96426.347	171885.399
3180.370492	369300.807	96457.195	171986.940
3195.809184	369300.807	96588.532	172050.850
3211.247876	369635.905	96711.217	172104.200
3226.686567	370575.487	96828.798	172208.766
3242.125259	370575.487	96836.957	172279.408
3257.563951	371114.669	96815.614	172353.024
3273.002643	371250.966	96828.798	172383.843
3288.441334	371362.527	96905.604	172548.265
3303.880026	371379.483	96905.604	172602.065
3319.318718	371379.483	97012.811	172708.467
3334.757409	371721.449	97017.461	172786.081
3350.196101	372065.118	96997.686	172879.228
3365.634793	372333.855	97032.229	172960.518
3381.073484	372366.403	97063.970	173007.370
3396.512176	372905.836	97120.652	173082.650
3411.950868	372560.818	97109.659	173085.406
3427.38956	372905.836	97243.886	173163.857
3442.828251	373521.604	97297.895	173260.078
3458.266943	373762.724	97352.764	173294.212
3473.705635	374606.459	97415.483	173375.750
3489.144326	374787.895	97441.411	173431.768
3504.583018	374787.895	97441.487	173404.086
3520.02171	374951.660	97509.926	173438.976
3535.460402	375007.799	97572.483	173520.365
3550.899093	375133.985	97596.156	173586.471
3566.337785	375839.905	97596.156	173671.752
3581.776477	375878.631	97596.156	173723.103
3597.215168	376020.730	97596.156	173762.492
3612.65386	376155.298	97691.438	173774.034
3628.092552	377181.382	97775.563	173854.719
3643.531244	377767.779	97789.636	173909.372
3658.969935	377886.751	97775.563	173969.413
3674.408627	377946.601	97720.654	174055.983
3689.847319	378594.382	97720.654	174096.023
3705.28601	378722.169	97857.187	174144.539
3720.724702	379268.882	97903.311	174233.544
3736.163394	379354.311	97903.311	174268.425
3751.602086	379930.807	97991.745	174344.513
3767.040777	380047.692	97991.745	174392.964
3782.479469	380047.692	97990.981	174412.625
3797.918161	380093.003	97919.475	174490.177
3813.356852	380126.596	97990.981	174544.524
3828.795544	380126.596	97885.403	174566.495
3844.234236	380300.337	97919.475	174573.129
3859.672927	380766.331	97991.745	174681.580
3875.111619	380766.331	97887.161	174703.589
3890.550311	382029.400	97857.187	174772.554
3905.989003	382049.321	97887.161	174856.774
3921.427694	382397.665	97919.475	174928.878
3936.866386	382488.576	97919.475	174999.156
3952.305078	383441.964	97991.745	175034.542
3967.743769	383825.629	98149.484	175097.283
3983.182461	383831.139	98149.484	175102.434
3998.621153	383989.043	98029.228	175136.971
4014.059845	384322.893	97990.981	175203.621
4029.498536	384676.712	97990.981	175272.750
4044.937228	384700.953	97919.475	175304.555
4060.37592	384792.507	97885.403	175304.555
4075.814611	384986.422	97885.403	175371.761
4091.253303	385432.144	97885.403	175407.639
4106.691995	386265.030	97885.403	175507.922
4122.130687	386611.264	97887.161	175554.917
4137.569378	386611.264	97903.311	175661.704
